| P |      Time         | Loc  | TSL         |
|---|-------------------|------|-----------  |
| U | 05/30/25 10:24 AM | Dorm |  ------     |
| A | 06/01/25  4:05 AM | Home |  ------     |
| A | 06/01/25 11:03 PM | Home |  18h 58m    |
| A | 06/02/25  4:19 PM | Home |  17h 16m    |
| A | 06/03/25  2:42 AM | Home |  10h 23m    |
| A | 06/03/25  5:04 PM | Home |  14h 22m    |
| A | 06/04/25  4:42 PM | Home |  23h 28m    |
| A | 06/04/25 11:43 PM | Home |  7h  01m    | 
| A | 06/05/25  8:03 PM | Home |  20h 20m    | 
| U | 06/06/25  9:00 AM | Dorm |  7d 22h 36m | 
| A | 06/06/25  4:12 PM | Home |  21h 9m     |
| A | 06/13/25  2:03 AM | Home |  6d 9h 51m  |
| A | 06/14/25  2:40 AM | Home |  1d 0h 37m  | 
| A | 06/14/25 10:17 PM | Home |  19h 37m    | N   | 
| A | 06/15/25  4:48 PM | Home |  18h 31m    | N-1 | 
| A | 06/18/25 12:40 AM | Home |  2d 19h 52m | N   |   
| A | 06/19/25  1:01 AM | Home |  1d 0h  21m | N-1 |
| A | 06/19/25  9:30 PM | Home |  0d 20h 29m | N-1 |   
| A | 06/20/25  4:06 PM | W    |  18h 36m    | N-1 |
| A | 06/22/25 12:57 AM | Home |  1d 8h 51m  | N-1 |
| A | 06/22/25  9:41 PM | Home |  0d 20h 4m  | N/A | 
| A | 06/23/25  4:02 PM | W    |  18h 21m    | N/A | 
| A | 06/24/25  4:10 PM | W    |  1d 00h 8m  | N/A | 
| A | 06/24/25 11:53 PM | Home |  7h 43m     | N/A | 
| A | 06/25/25  4:35 PM | W    |  16h 56m    | N/A | 
| A | 06/26/25  4:20 PM | W    |  23h 45m    | N/A | 
| A | 06/26/25 11:30 PM | Home |  07h 10m    | N/A | 
| A | 06/27/25  4:32 PM | W    |  17h 02m    | N/A | 
| A | 06/28/25  6:30 PM | Home |  1d 1h 58m  | N/A | 
| A | 06/29/25  8:47 PM | Home |  1d 2h 17m  | N/A | 
| A | 06/30/25  6:47 PM | Home |  22h 0m     | N/A | 
| A | 07/01/25  4:39 PM | W    |  21h 52m    | N/A | 
